Group Member,objectid,filename,format,image_source,title,source_creator,source_creator_origin,source_audience,source_genre,source_subjects,source_lang,publication_date,edition_date,date,source_related,book_format,measurements,source_identifier,cover_artist,cover_artist_origin,cover_designer,cover_designer_origin,cover_type,cover_style,cover_color,cover_description,cover_subjects,publisher_name,publisher_location,rights_holder,publisher_link
Emily ✅,cover11,image_11.jpg,image,Amazon.com (Firm),Charlie and the Chocolate Factory,"Dahl, Roald","Cardiff, UK",Juvenile,juvenile literature; humorous fiction,chocolate factories--fiction; behavior--fiction,eng,1964,2004-04-12,2004,Series: Charlie Bucket; Puffin Modern Classics,paperback,0.5'' x 5.6'' x 8.3 '',9780142401088,"Blake, Quentin","Sidcup, United Kingdom","Hoover, Jim",United States,illustration,drawing;,yellow; multicolor,"A drawing of the character, Willy Wonka, in a purple coat, yellow vest, and top hat, carrying a staff as he throws pieces of candy. Yellow background. ""Charlie and the Chocolate Factory"" is written in brown script lettering towards the top of the page. ""Roald Dahl"" appears in red type in the lower right corner of the cover.",willy wonka;,Viking Books for Young Readers,,Quentin Blake,
Emily ✅,cover12,image_12.jpg,image,Penguin Random House,Charlie and the Chocolate Factory,"Dahl, Roald","Cardiff, UK",Juvenile,juvenile literature; humorous fiction,chocolate factories--fiction; behavior--fiction,eng,1964,2007-08-16,2007,Series: Charlie Bucket; The Golden Edition,paperback,5.13 x 0.51 x 7.75 '',9780142410318,"Blake, Quentin","Sidcup, United Kingdom",,,illustration,drawing; watercolor,purple; yellow; multicolor,"The top half of the cover is a blend of blue, purple, red, and pink watercolor painting. The bottom half of the cover has a golden-yellow background. Two figures, Willy Wonka and Charlie Bucket, can be seen from the waist up. Willy is pictured with light gray hair and is wearing a black top hat, a purple coat, gray gloves, and an oversided white bow tie with yellow-orange polka dots. He holds a black staff tipped with a brown knob. Charlie is pictured with blond hair, wearing a yellow jacket over a light blue shirt. He holds a golden ticket above his head while smiling. ""Roald Dahl"" is displayed in white block letters in the top half of the cover. Beneath the author's name ""Charlie and the Chocolate Factory"" is written in slightly smaller gradient gold lettering. Under the title, ""Illustrated by Quentin Blake"" is written in small white text.",willy wonka; boy; charlie bucket,Puffin Books; Penguin Random House,New York,"Quentin Blake,",https://www.penguinrandomhouse.com/books/319173/charlie-and-the-chocolate-factory-by-roald-dahl-illustrated-by-quentin-blake/
Celina,cover13,image_13.jpg,image,Penguin Random House,My Antonia,"Cather, Willa, 1873-1947","Gore, VA",General, fiction; literary fiction; historical fiction,nebraska; pioneers; immigrants,eng,1918,1994-01-01,1994,Penguin Classics; The Great Plains Trilogy,paperback,5.06'' x 7.75'',9780140187649,"Benda, W.T.",,,,illustration,painting; illustration,,"This cover is split in half, the top part containing an illustration and the bottom part displaying the books publisher, title, and author information. The illustration depicts a painting of a young girl with her hair braided down her back, her arm closest to the viewer resting on her head and touching her braid. She is seated, looking out on an open yellow field. A few trees lie in the distance. The bottom half of the cover contains a white section depicting the publisher and their logo, and then a black section showing the name of the author first, a line, and then the title of the book.",girl; landscape,Penguin Classics; Penguin Random House,"London, England",Penguin Random House,https://www.penguinrandomhouse.com/books/292287/my-antonia-by-willa-cather-introduction-and-notes-by-john-j-murphy-illustrations-by-w-t-benda/
Celina,cover14,image_14.jpg,image,HarperCollins (Firm),My Antonia,"Cather, Willa, 1873-1947","Gore, VA",General, fiction; literary fiction; historical fiction,nebraska; pioneers; immigrants,eng,1918,1995-09-21,1995,Mariner Books Classics,paperback,,9780395755143,,,Mariner Books Classics,,photographic,photographic,yellow,"This cover design has tall and large text giving the author's name first, and then the title of the book, overlaid on a close up photograph of golden wheat in a wheatfield. In smaller text at the bottom of the cover, forward information is printed. At the top of the cover, a short review praising the novel is printed.",wheat; photograph,HarperCollins (firm),New York,HarperCollins (Firm),https://www.harpercollins.com/products/my-antonia-willa-cather?variant=39970899787810
Celina,cover15,image_15.jpg,image,Penguin Random House,My Antonia,"Cather, Willa, 1873-1947","Gore, VA",General, fiction; literary fiction; historical fiction,nebraska; pioneers; immigrants,eng,1918,2018-03-06,2018,Vintage Classics,paperback,5-3/16 x 8,9780525562863,,,Vintage Classics,,illustration,,,"This cover design displays a small handful of picked light blue/purple flowers, two blooming and the other still a bud. Triangles in a pattern of blue, red, and green line the top left side of the cover. The name of the author features prominently at the top center of the cover in a flowy script. The name of the title appears lower, beside the blooming flowers towards the center of the cover. Finally, a printed on green sticker for the 100th anniversary edition of the book is found in the bottom right corner, with some text directly below it giving introduction information for the edition.",flower,Vintage Classics; Penguin Random House,"London, England",Penguin Random House,https://www.penguinrandomhouse.com/books/25296/my-antonia-by-willa-cather/
Shannon,cover16,image_16.jpg,image,Macmillan Publishing Company,Pride and Prejudice,"Austen, Jane, 1775-1817","Steventon, UK",General; Adult, literature; historical romance,regency era; manners; human relationships; emotions; reason; first impressions; family; aristocracy,eng,1813-01-28,2016-07-19,2016,Macmillan Collector's Library,hardcover,‎ 3.95'' x 1 x 6.2 '',9781909621657,"Thomson, Hugh",Ireland,,,illustration,painting,blue; beige; grey,"Top half of book cover is light blue in background and features the title and author name in gold lettering. The bottom half of the cover is a portrait of a young caucasian woman with long blonde hair, grey eyes,wearing a white dress top with a dark grey shawl. The background of the portrait is also grey.",woman; painting,Macmillan Collector's Library,,,https://us.macmillan.com/books/9781909621657/prideandprejudice
Shannon,cover17,image_17.jpg,image,Simon & Schuster,Pride and Prejudice,"Austen, Jane","Steventon, UK",General; Adult, literature; historical romance,regency era; manners; human relationships; emotions; reason; first impressions; family; aristocracy,eng,1813-01-28,2012-09-01,2012,Word Cloud Classics,paperback,,9781607105541,,,,,graphic,modern,pink,"The cover is hot pink in color and features the title of the book in the center in blue font. In the background in a darker pink font are quotes, names of characters, and key words from the book as well as the author's name in larger dark pink font.",quotes; names; phrases; characters,Canterbury Classics,,,https://www.simonandschuster.net/books/Pride-and-Prejudice/Jane-Austen/Word-Cloud-Classics/9781607105541
Shannon,cover18,image_18.jpg,image,Penguin Random House,Pride and Prejudice,"Austen, Jane","Steventon, UK",General; Adult, literature; historical romance,regency era; manners; human relationships; emotions; reason; first impressions; family; aristocracy,eng,1813-01-28,2008-01-02,2008,Signet Classics,paperback,4-3/16'' x 6-7/8'',9780451530783,,,,,illustration,drawing; illustration,blue; red; gold; beige,"The cover background is mostly beige, with a medium blue for the bottom portion. On the top center is the title of the book in red font. In the top left is a gold chandelier. In the front center of the cover is Elizabeth Bennett and Mr. Darcy in matching red and gold colors dancing. In the background are silhouttes in blue of other couples dancing. On the bottom center is the author's name in white font.",elizabeth bennett; mr. darcy; dancing; chandelier; regency era,New American Library,New York,Penguin Group,https://www.penguinrandomhouse.com/books/301713/pride-and-prejudice-by-jane-austen/
Shannon,cover19,image_19.jpg,image,Amazon.com (firm),The Art of War,"Tzu, Sun",China,General; Adult,nonfiction; philosophy; historical; military,ancient china; conflict; strategy; psychology; leadership,eng,5th century BCE,2020-01-07,2020,,hardcover,4.8'' x 7.6'',9781324004899,"Kuzmin, Andrey",,Jaya Miceli,,graphic,photorealism,grey,"The background of the cover is an image of grey scales, the scales look similar to those you would find on ancient Chinese samurai armor. The title of the book, the author, and the translator are in the forefront of the cover in a beige font.",scales; design; image,"W.W. Norton & Company, Inc.",New York,"W.W. Norton & Company, Inc.",https://wwnorton.com/books/the-art-of-war/about-the-book/product-details
Shannon,cover20,image_20.jpg,image,Simon & Schuster,The Art of War,"Tzu, Sun",China,General; Adult,nonfiction; philosophy; historical; military,ancient china; conflict; strategy; psychology; leadership,eng,5th century BCE,2020-08-11,2020,Great Works That Shape Our World,hardcover,6 x 1.1 x 9.25 '',9781839641510,,,,,graphic,graphic,red; black,The background of the cover is black. The series title is at the top of the page in red font. Part of the background is what looks like red spears or some other kind of ancient weapon. The author and the title of the book are in white font below the series title. In the center of the cover is a red round ancient medallion. The ancient medallion contains 3 red dragons circling around the center of the medallion. At the bottom of the cover in white font is the name of the translator of this edition.,dragons; ancient china; spears,Flame Tree Collections,London,,https://www.simonandschuster.com/books/The-Art-of-War/Sun-Tzu/Great-Works-that-Shape-our-World/9781839641510
Shannon,cover21,image_21.jpg,image,"Shambhala Publications, Inc.",The Art of War,"Tzu, Sun",China,General; Adult,nonfiction; philosophy; historical; military,ancient china; conflict; strategy; psychology; leadership,eng,5th century BCE,2005-01-01,2005,,paperback,4.2'' x 6.75'',9781590302255,,,,,photographic,photographic,black; beige,The background of the cover is black. The book title is at the top in white font. In the middle underneath the title is the top of a red trident. Underneath the trident is the name of the author and the name of the translator in white font. Along the right-hand side of the cover is an image of a statue of an ancient chinese warrior. It is possible that this warrior is one of the Terracotta Army soldiers.,soldier; trident,Shambhala Publications,Boston,Thomas Cleary,https://www.shambhala.com/the-art-of-war-153.html
Celina,cover22,image_22.jpg,image,Macmillan Publishing Company,The Brothers Karamazov,"Dostoyevsky, Fyodor, 1821-1881","Moscow, RU",General, fiction; literary fiction,russia; religion; faith; murder; brothers; family,eng,1880,2021-10-05,2021,Bicentennial Edition,paperback,5.35 x 1.55 x 8.2,9781250788450,,,Picador,,graphic,,green; purple; red,"This cover displays a simple design of four layered silhouettes of men’s faces, each silhouette is layered on the other and is colored in a pattern of greens, purples, and reds. The name of the author takes the very top of the cover, a small review of the book printed beneath it, and the title of the book as well as the edition and translation credits take the bottom center of the cover.",sillhouette,Picador; MacMillan Publishers,"London, England",MacMillan Publishers,https://us.macmillan.com/books/9781250788450/thebrotherskaramazovbicentennialedition
Celina,cover23,image_23.jpg,image,Amazon.com (Firm),The Brothers Karamazov,"Dostoyevsky, Fyodor, 1821-1881","Moscow, RU",General, fiction; literary fiction,russia; religion; faith; murder; brothers; family,eng,1880,1997-05-01,1997,,hardcover,5.3'' x 1.7''x 8.3'',9781857150704,,,,,illustration,,,"This cover displays a painting of three men, each with their faces partially out of frame. Two of these men are standing with the top of their faces out of frame, while one young man is sitting, arms crossed, with half of his face out of frame. Upon closer inspection, a hand holding a pipe that belongs to a mysterious fourth man appears in the right hand corner, the rest of his body is completely out of frame. All of the men are dressed well in period style clothing. Laid over the cover image is a grid of small white dots that cover the image. The author name is displayed in a fancy red text box towards the top center of the cover, almost looking like a stamp. The title of the book is towards the center of the cover, and the translation of information is below it. At the bottom center of the cover is the publisher name.",,Everyman's Library,"London, England",Everyman's Library,http://www.everymanslibrary.co.uk/search.aspx?search=the%20brothers%20karamazov
Celina,cover24,image_24.jpg,image,Penguin Random House,The Brothers Karamazov,"Dostoyevsky, Fyodor, 1821-1881","Moscow, RU",General, fiction; literary fiction,russia; religion; faith; murder; brothers; family,eng,1880,2007-12-04,2007,Signet Classics,paperback,4.25 x 1.31 x 6.81 '',9780451530608,,,Signet Classics,,graphic,sketch; drawing,white; red,"This cover image has a white background, with a crudely sketched out drawing of a bearded man done in red ink taking up the main right center of the cover. The top left of the cover has the publisher’s name and logo, underneath it in bigger and bolder type taking the top center of the cover is the author’s name. The title of the book is in big and bold type, taking up space in the center of the sketched man’s frame towards the bottom right of the cover. In the bottom left of the cover is printed information about the author of the afterword for this particular edition.",sketch drawing,Signet Classics; Penguin Random House,"New York City, New York",Penguin Random House,https://penguinrandomhousehighereducation.com/book/?isbn=9780451530608
Shannon,cover25,image_25.jpg,image,Penguin Random House,The Color Purple,"Walker, Alice, 1944-","Eatonton, GA",Adult,historical fiction; american literature; lgbtqia+; women; african american; southern,women; sisterhood; healing; forgiveness; self-discovery; georgia; early 20th century; love; transformation; redemption,eng,1982,2019-12-10,2019,,paperback,"5.29x0.75x7.98""",9780143135692,,,,,illustration,watercolor,purple; brown; beige,"The cover features the primary color, purple, and a watercolor image of two African American women embracing.",african american; women; purple,Penguin Books; Penguin Random House,New York,,https://penguinrandomhousehighereducation.com/book/?isbn=9780143135692#additional_formats
Shannon,cover26,image_26.jpg,image,Folio Society,The Color Purple,"Walker, Alice, 1944-","Eatonton, GA",Adult,historical fiction; american literature; lgbtqia+; women; african american; southern,women; sisterhood; healing; forgiveness; self-discovery; georgia; early 20th century; love; transformation; redemption,eng,1982,2021,2021,Folio Edition,hardcover,"9x5.75""",,"Harris, Lela",UK,,,illustration,illustration; sketch,multicolor,"The cover of the Folio edition features the main character, Celie, in a sketch in the center. The cover features a quilted pattern built into the sketch to enhance the color of the cover.",african american; quilt; girl,Folio Society,London,,https://www.foliosociety.com/usa/the-color-purple.html
Shannon,cover27,image_27.jpg,image,Amazon.com (Firm),The Color Purple,"Walker, Alice, 1944-","Eatonton, GA",Adult,historical fiction; american literature; lgbtqia+; women; african american; southern,women; sisterhood; healing; forgiveness; self-discovery; georgia; early 20th century; love; transformation; redemption,eng,1982,2003-05-28,2003,Harvest Book,paperback,"7.8x5.88x0.74""",9780156028356,"Andrews, Vaughn",,,,photographic,photographic; floral,purple; yellow; grey; white,"The top part of the cover is white and features the name of the author in black font as well as a statement about the author in purple font above the author's name. Below the author's name is the title of the book in white font. Also in the forefront of the cover on the right hand side in the center is a yellow circle with the statement that the book is now a broadway musical. The main background image is of an African American person's feet and legs and it looks like they are standing on a wooden porch of some sort. The image is in grey tones. There are three bright purple flower images- one in the bottom left corner, one in the bottom right corner, and one towards the top of the center of the cover between the author's name and the title of the book.",purple flowers; african american; feet,Mariner Books,Boston,Harcourt Inc.,https://www.harpercollins.com/pages/marinerbooks
Emily,cover28,image_28.jpg,image,Arcadia Publishing,"The Merry Adventures of Robin Hood: Of Great Renown, in Nottinghamshire","Pyle, Howard, 1853-1911","Wilmington, DE",General, fiction; adventure,robin hood (legendary character)--juvenile literature.,eng,1905-02-25,2010-05-25,2010,The Merry Adventures of Robin Hood; Robin Hood,paperback,5'' x 0.73'' x 8 '',9781429044516,,,Northshire Bookstore,,graphic,illustration,green; yellow-green,"A dark green silhouette of an archer with a feather in his hat is getting ready to release a nocked arrow from their bow. The background is a mixture of yellow and light green strokes. The title is written in black text at the top of the cover. The author's name is printed in white text just beneath the title. ""A Celebration of Independent Bookselling"" is written across the bottom of the cover in white text.",archer,Arcadia Publishing; Applewood Books; Northshire Bookstore,"Carlisle, Mass.",Northshire Bookstore,https://www.arcadiapublishing.com/products/9781429044516/?queryID=ed644f8abf3713a021fd90b2281e7d50&objectID=9781429044516&insightsIndex=arcadia-publishing_products
Emily,cover29,image_29.jpg,image,Open Library,The Merry Adventures of Robin Hood,"Pyle, Howard, 1853-1911","Wilmington, DE",General, fiction; adventure,robin hood (legendary character)--juvenile literature.,eng,1905-02-25,2004,2004,The Merry Adventures of Robin Hood of Great Renown in Nottinghamshire,hardcover,"1.2"" x 6.4"" x 8.1""",9781402714566,"McKowen, Scott","Lansing, MI",,,illustration,pen and ink drawings,green; brown; white,"An archer standing in the fork of a tree, between a thick branch and trunk. He has an arrow loosly nocked in a longbow that he holds at his side. The archer is light-skinned with brown hair. He wears a brown archer's hat with a brown feather, a green jacket with white accents at the sleeves and collar, brown pants, and tall brown boots. There is green foliage and a sunset sky in the background. The title is written in white text with ""THE MERRY ADVENTURES OF"" in smaller font and ""ROBIN HOOD"" in larger white lettering. ""BY HOWARD PYLE"" is written just underneath the large title text in font identical to the begining title text.",archer; tree; arrow; bow; longbow; sunset,Union Square & Co; Sterling Publishing Company,New York,Scott McKowen,
Emily,cover30,image_30.jpg,image,Sterling Publishing Company,"The Merry Adventures of Robin Hood: Of Great Renown, in Nottinghamshire","Pyle, Howard, 1853-1911","Wilmington, DE",General, fiction; adventure,robin hood (legendary character)--juvenile literature.,eng,1905-02-25,2023-03-27,2023,Children's Signature Editions,paperback,5.25 x 8 x 0 Inches,9781454948834,"Zemanek, Jenny","Columbus, OH","Lawrence, Marcie","Brooklyn, NY",graphic,,green; brown; white;,"A green background makes up the majority of the cover. Along the bottom there are dark green shallow hills varying in shades of green, the bottom hill being the darkest, the uppermost hill the lightest. These hills take up about an eight of the cover. In the middle of the the hill that is second from the top sits an archery target on a wooden easel. The target has blue and red circles that make up a bullseye. A small arrow sticks out from the middle of the target at an angle. Behind the target are three tents each with various designs. On the right side is a square construct akin to midieval-style bleachers. All building colors are different compilations of blue, white, red, and gold. A skinny flag pole runs up the left side and has gold and red winding stripes. A skinny off white flag blows out from the pole. Centered above the white flag is text that says ""THE"" in dark blue mideival-stlye font small arrows brown arrows with red fletching point towards the text from the right and left sides. In slightly larger sized font of the same color and style, the text, ""MERRY ADVENTURES"" is written in an arch as if a part of the white flag. Just below the flag is the word ""OF"" in a style identical to ""THE"". Just below this is the focal point of the cover. In large brown letters, stylized to look like trees or tree branches, is ""ROBIN HOOD"". Skinny brown arrows with red fletching stick out of the ""H"" and ""D"" in HOOD. At the very top of the cover are the words ""SIGNATURE CLASSICS"" in small black text.",fair; bullseye; tents; tree; branch; arrow,Union Square & Co; Sterling Publishing Company,New York,Union Square & Co,https://www.unionsquareandco.com/9781454948834/the-merry-adventures-of-robin-hood-by-howard-pyle/
Shannon,cover31,image_31.jpg,image,Simon & Schuster,The Secret Garden,"Burnett, Frances Hodgson, 1849-1924","Manchester, UK",General; Children,juvenile literature; historical fiction,coming of age; orphan; disability; animals; england; india; parents; families; magic; gender roles in society; beauty; gardens; class,eng,1911,1999-08-01,1999,Aladdin Classics,paperback,"5.13x1.1x7.63""",9780689831416,,,,,photographic,photographic,brown; black; pink; gold,"The cover of the book is primarily an image of a young caucasian girl with medium length hair in a white dress standing in front of a tree looking to the right. The image is a sienna tone such as that in a historical photo. At the very top of the cover is a black bar that holds the edition title in gold font. Underneath that and over the photo of the young girl is the name of the author in white font, and then below that the title of the book in pink font with a small pink flower underneath. There is also a black bar at the bottom of the cover about the foreward of another author in gold font. There is also a black oval shape in the bottom right of the image that says that the book includes a reading guide in gold font.",child; girl; tree; flower; dress,Aladdin,New York,,https://www.simonandschuster.com/books/The-Secret-Garden/Frances-Hodgson-Burnett/Aladdin-Classics/9780689831416
